DATASET_YR	REPRJ_ID	INUN_ID	FT_N	PT_N	TOT_N	UG_FT_N	UG_PT_N	UG_TOT_N	FT_DEG_P	UG_RATIO	GRAD_STUD	FT_MEN_N	FT_WMN_N	PT_MEN_N	PT_WMN_N	TOT_MEN_N	TOT_WMN_N	FT_DEG_TERM_N	PT_DEG_TERM_N	TOT_DEG_TERM_N	UG_RATIO_FAC_N	UG_RATIO_STUD_N
2018	12	5208	81	115	196					17.00		35	46	45	70	80	116	68	28	96		
2018	12	5209	45	147	192					15.00		19	26	68	79	87	105	29	44	73	94	1388
2018	12	5211								23.00												
2018	12	5212	179	102	281					20.00		98	81	48	54	146	135	117	38	155	181	3584
2018	12	5213	72	52	124					10.00		35	37	26	26	61	63	53	17	70	85	849
2018	12	5214	26	35	61					13.00										32	37	473
2018	12	5216								21.00												
2018	12	5220	1330	225	1555					19.00		809	521	127	98	936	619	1192	118	1310	1405	26697
2018	12	5221	207	156	363					15.00		111	96	52	104	163	200	173	67	240	259	3930
2018	12	5223	174	195	369					13.00		81	93	72	123	153	216	153	84	237	232	2953
2018	12	5225																				
2018	12	5226	195	69	264					12.00		102	93	28	41	130	134				218	2640
2018	12	5227	130	46	176					12.00		64	66	17	29	81	95	108	24	132	145	1702
2018	12	5228	139	312	451					18.00		65	74	94	218	159	292				242	4350
2018	12	5229	96	29	125					11.00		62	34	12	17	74	51	92	7	99	107	1223
2018	12	5230																				
2018	12	5231	568	1255	1823					20.00		251	317	636	619	887	936	158	263	421	986	19687
2018	12	5232	370	305	675					18.00		186	184	117	188	303	372				472	8381
2018	12	5235	58	57	115					12.00		27	31	29	28	56	59	37	14	51	77	904
2018	12	5236	73	165	238					13.00		30	43	69	96	99	139	54	62	116	128	1423
2018	12	5237	485	1026	1511					10.00		225	260	391	635	616	895	280	9	289	827	8130
2018	12	5238	183	83	266					11.00						166	100	163	38	201	11	2342
2018	12	5239																				
2018	12	5246	2170							13.00											1900	24677
2018	12	5250																				
2018	12	5251	56	44	100					13.00		29	27	23	21	52	48	48	10	58	71	952
2018	12	5252	223	251	474					11.00		109	114	124	127	233	241	162	26	188	307	3471
2018	12	5254	1022	269	1291					17.00		529	493	103	166	632	659	803	127	930	1032	17973
2018	12	5256	15	26	41																	
2018	12	5261	26	27	53																	
2018	12	5262																				
2018	12	5263	41	6	47					11.00		32	9	1	5	33	14				60	605
2018	12	5264	26	41	67					9.00		21	5	28	13	49	18	18	14	32	40	338
2018	12	5265	181	134	315					15.00											225	3413
2018	12	5267	5	6	11							5	0	5	1	10	1	4	5	9		
2018	12	5270	155	142	297					9.00		87	68	84	58	171	126	135	91	226	202	1880
2018	12	5273	226	137	363					10.00		88	138	48	89	136	227	210	95	305	272	2584
2018	12	5275	325	410	735					13.00		141	184	234	176	375	360				398	5142
2018	12	5276								35.00												
2018	12	5277	35	76	111					15.00		21	14					16				
2018	12	5278	71	144	215					20.00		34	37	62	82	96	119	6	1	7		
2018	12	5281	179	16	195					10.00								174	10	184	195	1787
2018	12	5286	38	107	145					23.00								1	25	26	74	1548
2018	12	5287	47	73	120					15.00		23	24	22	51	45	75				69	1092
2018	12	5290	1058	294	1352					14.00		619	439	126	168	745	607	880	0	880	1097	15614
2018	12	5291																				
2018	12	5292	73	405	478					13.00		16	57	112	293	128	350	46	127	173	114	1560
2018	12	5293								20.00												
2018	12	5295	8	32	40					30.00		4	4	14	18	18	22	0	1	1	13	397
2018	12	5296																				
2018	12	5297								15.00												
2018	12	5298	179	298	477					11.00		69	110	120	178	189	288	163			221	2558
2018	12	5300	48	219	267					14.00		19	29	78	141	97	170	31	18	49	121	1744
2018	12	5302	73	84	157					13.00		38	35	33	51	71	86	3	3	6	101	1324
2018	12	5303	95	361	456					15.00		48	47	197	164	245	211	57	146	203	215	3226
2018	12	5304	180	265	445					12.00		80	100					150	102	252	246	2854
2018	12	5305																				
2018	12	5306	89	322	411					40.00		36	53	117	205	153	258	46	73	119	196	7742
2018	12	5307																				
2018	12	5308	29	18	47					11.00		1	28	4	14	5	42	4				
2018	12	5309																				
2018	12	5310	361	492	853					14.00		187	174	221	271	408	445	318	151	469	451	6273
2018	12	5311																				
2018	12	5312	115	26	141					11.00		49	66	15	11	64	77	109	17	126	124	1365
2018	12	5313																				
2018	12	5315	158	83	241					21.00		82	76	33	50	115	126	123	8	131	186	3840
2018	12	5316																				
2018	12	5317	116	84	200					13.00		83	33	35	49	118	82	82	8	90	144	1826
2018	12	5319	33	22	55					10.00		10	23	8	14	18	37	26	12	38	41	403
2018	12	5320	60	65	125					10.00		28	32	32	33	60	65	47	20	67	77	741
2018	12	5321	291	159	450					11.00		175	116	100	59	275	175	232	44	276	367	4204
2018	12	5322	136	48	184					10.00		70	66	18	30	88	96	124	24	148	159	1637
2018	12	5323	81	552	633					11.00		63	18	459	93	522	111	20	269	289		
2018	12	5325								22.00												
2018	12	5327								23.00												
2018	12	5328	136	255	391					14.00		67	69	104	151	171	220				214	3065
2018	12	5329								23.00												
2018	12	5330	266	426	692					11.00		200	66	295	131	495	197				408	4565
2018	12	5332	56	120	176					10.00												
2018	12	5333	165	65	230					11.00		86	79	37	28	123	107	152	31	183	184	2056
2018	12	5336	11	5	16					14.00		9	2	3	2	12	4	6	0	6	13	176
2018	12	5337	39	35	74					12.00		20	19	19	16	39	35	28	4	32	51	622
2018	12	5338	51	32	83					12.00		33	18	12	20	45	38	41	9	50	62	730
2018	12	5339	44	19	63					9.00		32	12	11	8	43	20	22	0	22	60	566
2018	12	5340	92							12.00		53	39								183	2256
2018	12	5342								9.00												
2018	12	5343	67	116	183					12.00		36	31	60	56	96	87	41	19	60	106	1226
2018	12	5344	42	39	81					10.00		20	22	14	25	34	47	28	2	30	47	460
2018	12	5345	181	116	297					11.00		93	88	53	63	146	151	159	40	199	220	2422
2018	12	5346	184	141	325					14.00		102	82	61	80	163	162				325	4689
2018	12	5350																				
2018	12	5351																				
2018	12	5356	10	20	30					8.00		1	9	4	16	5	25	4	10	14	30	254
2018	12	5357																				
2018	12	5359	194	84	278					16.00		102	92	35	49	137	141	134			236	3780
2018	12	5360	12	85	97					5.00		11	1	52	33	63	34	10	34	44	40	180
2018	12	5363								22.00												
2018	12	5366	274	262	536					15.00		176	98	144	118	320	216	231		231	536	6095
2018	12	5367	86	28	114					13.00		53	33	12	16	65	49	83	4	87		
2018	12	5368	95	402	497					11.00		56	39	189	213	245	252	95			202	2197
2018	12	5369	48	53	101					8.00											101	827
2018	12	5371								16.00												
2018	12	5372	121	227	348					14.00		70	51	137	90	207	141	19	18	37	197	2819
2018	12	5373	32	36	68					13.00		21	11	11	25	32	36	29	3	32	44	576
2018	12	5374																				
2018	12	5376	100	123	223					20.00		42	58	53	70	95	128	20	12	32	141	2811
2018	12	5377	89	201	290					8.00		41	48	121	80	162	128	3	1	4	156	1226
2018	12	5378			128											73	55			89		
2018	12	5379																				
2018	12	5380	35	50	85							15	20	31	19	46	39	0	4	4		
2018	12	5383	18	0	18					12.00		0	18	0	0	0	18	5	0	5		
2018	12	5384	788	306	1094							343	445	124	182	467	627					
2018	12	5386	70	160	230					15.00		28	42	85	75	113	117	57	43	100	123	1860
2018	12	5387	419	100	519					19.00		227	192	36	64	263	256	354	25	379	452	8562
2018	12	5388	43	67	110					14.00		25	18	29	38	54	56	30	21	51	65	912
2018	12	5389	75	42	117					13.00		40	35	18	24	58	59	30	4	34	89	1199
2018	12	5391	35	19	54					14.00		16	19	10	9	26	28			34	41	556
2018	12	5392																				
2018	12	5393								22.00												
2018	12	5394																				
2018	12	5395	50	49	99					11.00						57	42	34	19	53	64	695
2018	12	5397	0	186	186					12.00		0	0	78	108	78	108	0	102	102		
2018	12	5398	186	31	217					13.00		117	69	6	25	123	94	123	13	136	192	2406
2018	12	5399								15.00												
2018	12	5400	757	769	1526							390	367	347	422	737	789	544	63	607		
2018	12	5403	57	76	133					20.00		36	21	45	31	81	52	57	76	133		
2018	12	5405	117	112	229					22.00		42	75	40	72	82	147	13	8	21	161	3554
2018	12	5406	26	238	264					4.00		19	7	122	116	141	123	26	238	264	264	878
2018	12	5407	821	820	1641					12.00		487	334	367	453	854	787	760	749	1509	929	11388
2018	12	5410	1839	834	2673					10.00		1062	777	463	371	1525	1148	1640		1640	1574	15837
2018	12	5411	194	34	228					9.00		89	105	16	18	105	123	193	29	222	205	1814
2018	12	5412	216	198	414					16.00								205	158	363	216	4283
2018	12	5414	744	390	1134					18.00		376	368	183	207	559	575	580	82	662	874	15406
2018	12	5415	44	58	102					20.00		21	23	21	37	42	60				63	1280
2018	12	5417	355	248	603					12.00		205	150	108	140	313	290	283		283	438	5272
2018	12	5419	93	42	135					20.00												
2018	12	5421	358	196	554					10.00		198	160	104	92	302	252	339	103	442		
2018	12	5422	228	11	239					11.00		102	126					99				
2018	12	5423								17.00												
2018	12	5425	127	157	284					11.00		36	91	47	110	83	201	105	79	184	179	2010
2018	12	5426	48	76	124					12.00		24	24					33			70	894
2018	12	5427	51	44	95					11.00		27	24	24	20	51	44	43	15	58	66	700
2018	12	5428	239	769	1008					23.00											495	11669
2018	12	5429	114	169	283					17.00		53	61	65	104	118	165	18	15	33		
2018	12	5430	29	46	75					13.00		19	10	22	24	41	34	21	11	32		
2018	12	5431	64	58	122					14.00		35	29	28	30	63	59	47	4	51	72	968
2018	12	5433	15	60	75					14.00						21	54	6	8	14	33	465
2018	12	5435	120	47	167					14.00		59	61	24	23	83	84	98	22	120	136	1879
2018	12	5436	357	414	771					19.00		164	193	211	203	375	396	338	154	492	495	11019
2018	12	5437																				
2018	12	5439	1256	584	1840					20.00		995	261	219	365	1214	626	1170	152	1322	1522	31103
2018	12	5440	121	107	228					15.00		99	22	46	61	145	83	97			157	2449
2018	12	5444	129	524	653					16.00		43	86	245	279	288	365	42	87	129	304	4764
2018	12	5445	559	0	559					30.00												
2018	12	5446																				
2018	12	5447	127	461	588					21.00		62	65	203	258	265	323				281	13284
2018	12	5451	141	265	406																	
2018	12	5452								30.00												
2018	12	5456	793	123	916					7.00		514	279	67	56	581	335	758	98	856	940	6754
2018	12	5457	101	113	214					19.00		44	57	58	55	102	112	71	46	117	139	2699
2018	12	5458								12.00												
2018	12	5459	40	80	120					15.00		29	11	47	33	76	44	34	30	64	67	1002
2018	12	5461	8	41	49					10.00		3	5	17	24	20	29	0	2	2	22	219
2018	12	5462	9	58	67																	
2018	12	5463	23	52	75																	
2018	12	5464	17	47	64					10.00		5	12	19	28	24	40	2	5	7	33	325
2018	12	5465	24	39	63					12.00		12	12	15	24	27	36	4	4	8	63	762
2018	12	5466	16	41	57					9.00		7	9	15	26	22	35		1	1	57	522
2018	12	5467	169	131	300					13.00		100	69	68	63	168	132	141	31	172	247	3327
2018	12	5468	11	42	53																	
2018	12	5469	16	41	57					12.00		6	10	21	20	27	30	0	0	0		
2018	12	5470	159	42	201					8.00		65	94	12	30	77	124	151	19	170	158	1328
2018	12	5472	384	50	434					9.00		227	157	24	26	251	183	374	24	398	401	3645
2018	12	5473	147	508	655					15.00		61	86	228	280	289	366	63	91	154	316	4802
2018	12	5474	81	35	116					9.00		36	45	11	24	47	69	65	3	68	90	775
2018	12	5475	151	639	790					22.00												
2018	12	5477								26.00												
2018	12	5478	151	431	582					17.00		66	85	168	263	234	348	10	0	10	582	8096
2018	12	5479			351					18.00												
2018	12	5480	363	205	568					11.00		181	182					298			431	4760
2018	12	5481								25.00												
2018	12	5482	31	29	60					13.00		20	11	23	6	43	17	5	1	6		
2018	12	5483								26.00												
2018	12	5484	83	148	231					13.00		33	50	61	87	94	137	71			132	1733
2018	12	5485	29	91	120					17.00		8	21	42	49	50	70	2	34	36	54	915
2018	12	5486	84	209	293					12.00		29	55	97	112	126	167	73			154	1806
2018	12	5487	130	290	420					18.00		51	79	143	147	194	226	13	23	36		
2018	12	5488	336	536	872					17.00		177	159	254	282	431	441	261	140	401	515	8496
2018	12	5489	1	6	7							1	0	4	2	5	2	1	2	3		
2018	12	5491	100	385	485					9.00								64	207	271		
2018	12	5493																				
2018	12	5495	64	135	199					11.00		29	35	53	82	82	117				109	1147
2018	12	5496	331	43	374					3.00								326	29	355	345	961
2018	12	5497	160	180	340					7.00		89	71	107	73	196	144	97	91	188	191	1412
2018	12	5499	190	255	445					16.00		95	95	139	116	234	211	165	102	267	185	2890
2018	12	5500	71	35	106					16.00		51	20	12	23	63	43				94	1107
2018	12	5501	952	521	1473					19.00		603	349	269	252	872	601	719	145	864	1126	21542
2018	12	5506	252	131	383					20.00		124	128	79	52	203	180	216	58	274	246	4875
2018	12	5507	282	264	546					26.00		143	139	116	147	259	286	209	42	251	317	8281
2018	12	5508	461	556	1017					28.00		249	212	244	312	493	524	356	125	481	646	18406
2018	12	5509	341	310	651					23.00		185	156	131	179	316	335	277	86	363		
2018	12	5510	607	637	1244					25.00		361	246	374	263	735	509	497	193	690		
2018	12	5511	507	489	996					24.00		268	239	224	265	492	504	430	148	578	653	16395
2018	12	5512	277	565	842					21.00		123	154	244	321	367	475	202	185	387	555	11908
2018	12	5513	686	674	1360					21.00		375	311	310	364	685	675				911	19304
