DATASET_YR	REPRJ_ID	INUN_ID	ADMS	COUNSEL	SAT1_VERB_200_P	SAT1_VERB_300_P	SAT1_VERB_400_P	SAT1_VERB_500_P	SAT1_VERB_600_P	SAT1_VERB_700_P	SAT1_MATH_200_P	SAT1_MATH_300_P	SAT1_MATH_400_P	SAT1_MATH_500_P	SAT1_MATH_600_P	SAT1_MATH_700_P	ACT_1_P	ACT_2_P	ACT_3_P	ACT_4_P	ACT_5_P	ACT_6_P	SAT1_VERB_MEAN	SAT1_MATH_MEAN	ACT_MEAN	SAT1_VERB_670_800_P	SAT1_MATH_600_800_P	SUBMIT_P	SUBMIT_SAT1_P	SUBMIT_ACT_P	PLACE_ONLY	ADMS_PLACE	ADMS_COUNSEL	SAT1_VERB_25TH_P	SAT1_VERB_75TH_P	SAT1_MATH_25TH_P	SAT1_MATH_75TH_P	ACT_COMP_25TH_P	ACT_COMP_75TH_P	ACT_WRITING	SAT_NEW	SAT1_WRITING_200_P	SAT1_WRITING_300_P	SAT1_WRITING_400_P	SAT1_WRITING_500_P	SAT1_WRITING_600_P	SAT1_WRITING_700_P	SAT1_WRITING_25TH_P	SAT1_WRITING_75TH_P	SAT1_WRITING_MEAN	ESSAY_ADMIS_ACT	ESSAY_ADMIS_SAT	ESSAY_ADVISING_ACT	ESSAY_ADVISING_SAT	ESSAY_AP_SUBST_ACT	ESSAY_AP_SUBST_SAT	ESSAY_AP_VALID_ACT	ESSAY_AP_VALID_SAT	ESSAY_NO_ACT	ESSAY_NO_SAT	ESSAY_NO_POLICY_ACT	ESSAY_NO_POLICY_SAT	ESSAY_PLACE_ACT	ESSAY_PLACE_SAT	ADMS_OPTIONAL	SAT_ESSAY
2018	12	5115	Y		1.00	9.00	38.00	37.00	13.00	2.00	1.00	6.00	36.00	44.00	12.00	1.00	0.00	0.00	17.00	42.00	38.00	3.00	501	509	22				89.00	74.00				450.00	550.00	460.00	560.00	19.00	25.00	ACTW													X	X									X	X		SATB
2018	12	5116	Y		0.00	0.00	8.50	51.90	33.50	6.10	0.00	1.60	16.20	52.60	27.60	2.20	0.00	0.00	3.10	54.20	36.40	6.40	581	481	23				88.70	75.70				530.00	620.00	510.00	610.00	21.00	26.00																											
2018	12	5120	Y																																																															
2018	12	5121	Y		0.00	1.00	9.00	39.00	39.00	12.00	0.00	1.00	19.00	38.00	28.00	14.00	0.00	0.00	7.00	35.00	36.00	22.00	599	580	25				39.86	74.73				510.00	660.00	530.00	660.00	21.00	29.00																											
2018	12	5122	N																																																															
2018	12	5123	Y														0.00	0.00	30.35	35.67	31.60	2.38							56.00	70.00								18.00	23.00	ACTB																			X	X	X	X				SATB
2018	12	5125	N																																					ACTB																			X	X						
2018	12	5126	Y																															480.00	690.00	490.00	590.00	18.00	24.00																						X	X				
2018	12	5127	N																																																															
2018	12	5128	N																										3.00	0.00																																				
2018	12	5129	N																																																															
2018	12	5130	Y																																					ACTB																			X	X						
2018	12	5133																																																																
2018	12	5134	N																																																															
2018	12	5138	Y																																																										X	X				
2018	12	5139	N																																																															
2018	12	5142																																																																
2018	12	5144	Y		0.00	4.00	14.00	45.00	32.00	4.00	0.00	4.00	23.00	59.00	14.00	0.00	0.00	0.00	15.00	57.00	23.00	4.00	564	519	22				35.00	65.00				517.00	612.00	477.00	552.00	19.00	24.50	ACTB																					X	X				SATB
2018	12	5145	Y		0.00	0.00	6.24	43.51	44.91	5.34	0.00	0.00	6.49	53.10	37.01	3.40	0.00	0.00	0.37	25.19	62.90	11.54			26				61.00	49.00				560.00	640.00	540.00	630.00	23.00	27.00	ACTB																			X	X						SATB
2018	12	5146	Y		0.00	0.80	15.60	52.90	25.20	5.46	0.00	2.52	22.27	51.68	22.27	1.26	0.00	0.00	2.23	44.57	46.52	6.69			24				74.00	45.00				520.00	620.00	500.00	600.00	21.00	27.00	ACTB																					X	X				SATB
2018	12	5147																																																																
2018	12	5148	N																																																															
2018	12	5150																																																																
2018	12	5154	Y														0.00	0.00	0.00	50.00	41.00	9.00			24				34.00	69.00								21.00	26.00	ACTB																			X	X						SATB
2018	12	5155	N																																																															
2018	12	5160	Y		0.00	0.20	6.20	35.10	44.20	14.30	0.00	0.20	4.90	34.80	42.00	18.00	0.00	0.00	3.00	30.40	46.60	20.10	612	620	26				54.00	61.00				560.00	670.00	560.00	680.00	22.00	29.00	ACTB																			X	X						SATB
