DATASET_YR	REPRJ_ID	INUN_ID	EXAM_CODE	STUD_I	ADMS_REQ	ADMS_REC	ADMS_RFS	PLACE_REQ	PLACE_REC	PLACE_RFS	DESCR	ADMS_CONSIDER	ADMS_NOT_USED
2018	12	5417	S1A	D	X								
2018	12	5417	SAT2	D									X
2018	12	5421	S1A	D	X								
2018	12	5426	S1A	D	X								
2018	12	5427	S1A	D			X						
2018	12	5430	S1A	D	X								
2018	12	5431	S1A	D	X								
2018	12	5435	S1A	D	X								
2018	12	5435	S1S2A	D									X
2018	12	5435	SAT2	D									X
2018	12	5436	SAT1	D		X						X	
2018	12	5437	S1A	D			X						
2018	12	5439	S1A	D	X								
2018	12	5439	S1S2A	D									X
2018	12	5439	SAT2	D									X
2018	12	5440	ACT	D		X							
2018	12	5440	S1A	D	X								
2018	12	5445	S1A	D	X								
2018	12	5456	S1A	D	X								
2018	12	5456	SAT2	D		X							
2018	12	5457	S1A	D	X								
2018	12	5459	S1A	D	X								
2018	12	5461	OTHT	D	X						CPAt		
2018	12	5461	S1A	D		X							
2018	12	5462	OTHT	D	X						TABE, CPAt or ACCUPLACER		
2018	12	5462	S1A	D		X							
2018	12	5463	OTHT	D	X						TABE, CPAt or ACCUPLACER		
2018	12	5463	S1A	D		X							
2018	12	5464	OTHT	D	X						CPAt		
2018	12	5464	S1A	D		X							
2018	12	5465	OTHT	D	X						CPAt		
2018	12	5465	S1A	D		X							
2018	12	5466	OTHT	D	X						TABE, CPAt		
2018	12	5467	S1A	D								X	
2018	12	5468	OTHT	D	X						TABE, CPAt or ACCUPLACER		
2018	12	5468	S1A	D		X							
2018	12	5469	OTHT	D	X						CPAt		
2018	12	5469	S1A	D		X							
2018	12	5470	S1S2A	D			X					X	
2018	12	5472	S1A	D	X								
2018	12	5472	SAT2	D								X	
2018	12	5474	ACT	D		X							
2018	12	5474	S1A	D	X								
2018	12	5474	S1S2A	D								X	
2018	12	5474	SAT1	D								X	
2018	12	5474	SAT2	D								X	
2018	12	5480	S1A	D	X								
2018	12	5480	SAT2	D									X
2018	12	5482	S1A	D			X						
2018	12	5484	S1A	D		X							
2018	12	5486	S1A	D	X								
2018	12	5488	S1A	D	X								
2018	12	5488	S1S2A	D		X							
2018	12	5489	OTHT	D	X						math and English exams		
2018	12	5489	S1A	D		X							
2018	12	5496	S1S2A	D	X								
2018	12	5499	S1A	D	X								
2018	12	5500	S1A	D	X								
2018	12	5501	S1A	D	X								
2018	12	5506	S1A	D	X								
2018	12	5507	S1A	D			X						
2018	12	5508	S1A	D		X							
2018	12	5508	S1S2A	D								X	
2018	12	5509	S1A	D			X						
2018	12	5510	S1A	D	X								
2018	12	5511	S1A	D	X								
2018	12	5512	S1A	D			X						
2018	12	5513	S1A	D	X								
2018	12	5515	S1A	D			X						
2018	12	5516	ACT	D		X							
2018	12	5516	S1A	D	X								
2018	12	5517	S1A	D			X						
2018	12	5518	ACT	D									X
2018	12	5518	S1A	D	X								
2018	12	5518	S1S2A	D									X
2018	12	5518	SAT1	D									X
2018	12	5518	SAT2	D									X
2018	12	5519	S1A	D	X								
2018	12	5520	S1A	D	X								
2018	12	5521	S1A	D	X								
2018	12	5524	OTHT	D	X						ACCUPLACER		
2018	12	5524	S1A	D		X							
2018	12	5525	S1A	D	X								
2018	12	5526	OTHT	D	X						or CLT		
2018	12	5526	S1A	D	X								
2018	12	5531	S1A	D			X						
2018	12	5533	S1A	D	X								
2018	12	5534	S1A	D	X								
2018	12	5538	S1A	D			X						
2018	12	5544	S1A	D	X								
2018	12	5544	S1S2A	D								X	
2018	12	5550	S1A	D	X								
2018	12	5551	S1A	D	X								
2018	12	5553	OTHT	D			X				TOEFL for international students		
2018	12	5553	S1A	D			X						
2018	12	5555	OTHT	D	X						CEEB or SAT		
2018	12	5557	OTHT	D			X				College Board math/verbal test for engineering		
2018	12	5558	S1A	D		X							
2018	12	5559	S1A	D	X								
2018	12	5559	SAT2	D		X							
2018	12	5560	S1S2A	D			X						
